iter	Passed	Remaining
407	5409	7848
408	5423	7837
409	5436	7823
410	5448	7808
411	5461	7793
412	5472	7778
413	5484	7763
414	5502	7756
415	5514	7741
416	5527	7727
417	5540	7714
418	5552	7699
419	5564	7683
420	5576	7669
421	5589	7655
422	5601	7641
423	5614	7627
424	5625	7611
425	5637	7596
426	5651	7583
427	5663	7568
428	5675	7554
429	5688	7541
430	5701	7526
431	5713	7512
432	5725	7496
433	5737	7481
434	5749	7468
435	5763	7455
436	5775	7440
437	5789	7428
438	5802	7414
439	5814	7400
440	5827	7386
441	5841	7374
442	5855	7362
443	5867	7347
444	5880	7333
445	5893	7320
446	5904	7304
447	5916	7290
448	5929	7276
449	5943	7264
450	5969	7266
451	5982	7253
452	5996	7240
453	6009	7227
454	6024	7215
455	6036	7201
456	6048	7186
457	6060	7172
458	6075	7161
459	6087	7146
460	6100	7132
461	6112	7117
462	6134	7114
463	6153	7108
464	6174	7104
465	6192	7096
466	6207	7084
467	6220	7070
468	6233	7057
469	6246	7043
470	6259	7030
471	6273	7017
472	6285	7003
473	6299	6990
474	6311	6976
475	6325	6962
476	6337	6949
477	6350	6935
478	6361	6919
479	6373	6904
480	6386	6890
481	6397	6875
482	6409	6860
483	6421	6846
484	6433	6831
485	6446	6817
486	6458	6803
487	6470	6788
488	6482	6774
489	6494	6759
490	6508	6746
491	6519	6731
492	6531	6716
493	6542	6701
494	6553	6686
495	6565	6671
496	6576	6655
497	6587	6640
498	6599	6625
499	6611	6611
500	6622	6595
501	6633	6580
502	6647	6568
503	6660	6554
504	6674	6542
505	6687	6528
506	6700	6515
507	6713	6501
508	6726	6488
509	6738	6474
510	6750	6459
511	6762	6445
512	6774	6431
513	6786	6417
514	6799	6403
515	6811	6388
516	6822	6373
517	6833	6358
518	6844	6343
519	6856	6328
520	6867	6313
521	6878	6298
522	6890	6284
523	6901	6269
524	6913	6255
525	6924	6240
526	6936	6225
527	6947	6210
528	6958	6195
529	6976	6186
530	6988	6172
531	6999	6157
532	7011	6143
533	7024	6130
534	7038	6117
535	7052	6105
536	7074	6099
537	7092	6090
538	7103	6075
539	7116	6061
540	7129	6049
541	7141	6034
542	7155	6022
543	7174	6014
544	7188	6001
545	7201	5988
546	7215	5975
547	7228	5962
548	7241	5948
549	7254	5935
550	7267	5922
551	7280	5909
552	7295	5896
553	7307	5883
554	7320	5869
555	7334	5857
556	7352	5847
557	7369	5837
558	7384	5825
559	7404	5817
560	7423	5809
561	7437	5796
562	7451	5783
563	7463	5769
564	7477	5756
565	7489	5742
566	7503	5729
567	7516	5716
568	7531	5704
569	7544	5691
570	7557	5677
571	7570	5664
572	7584	5652
573	7599	5640
574	7615	5628
575	7629	5616
576	7641	5602
577	7655	5589
578	7667	5575
579	7681	5562
580	7696	5550
581	7711	5538
582	7725	5525
583	7740	5513
584	7754	5501
585	7771	5490
586	7785	5477
587	7799	5465
588	7812	5451
589	7827	5439
590	7840	5426
591	7856	5414
592	7870	5401
593	7885	5390
594	7899	5376
595	7912	5363
596	7926	5350
597	7940	5337
598	7959	5328
599	7975	5316
600	7987	5302
601	8002	5290
602	8014	5276
603	8026	5262
604	8039	5248
605	8052	5235
606	8064	5221
607	8079	5209
608	8090	5194
609	8103	5180
610	8115	5166
611	8128	5153
612	8141	5139
613	8153	5125
614	8165	5111
615	8176	5097
616	8188	5082
617	8200	5069
618	8217	5057
619	8233	5046
620	8248	5034
621	8263	5022
622	8278	5009
623	8292	4996
624	8308	4985
625	8322	4972
626	8337	4960
627	8352	4947
628	8365	4933
629	8379	4921
630	8392	4907
631	8405	4894
632	8418	4880
633	8431	4867
634	8445	4854
635	8459	4841
636	8473	4828
637	8487	4815
638	8501	4802
639	8516	4790
640	8537	4781
641	8556	4771
642	8572	4759
643	8593	4750
644	8608	4738
645	8624	4726
