iter	Logloss
0	0.6425933165
1	0.5978243121
2	0.562305023
3	0.5326350508
4	0.5014504013
5	0.4784608743
6	0.4531388922
7	0.4358318545
8	0.4212378884
9	0.4097069416
10	0.3869517651
11	0.3780611996
12	0.3688964331
13	0.3586113164
14	0.3516925958
15	0.3441719466
16	0.3366636113
17	0.3329027828
18	0.3285353443
19	0.3246149628
20	0.319806837
21	0.3155361317
22	0.3131793617
23	0.3088027249
24	0.3056272712
25	0.3027629076
26	0.3004146473
27	0.2981496608
28	0.2961650764
29	0.2930010714
30	0.2910721417
31	0.2899245798
32	0.2890468968
33	0.2883378313
34	0.2870780303
35	0.2853121789
36	0.2840809102
37	0.2825531602
38	0.2818869685
39	0.2814560866
40	0.2807111936
41	0.2795379236
42	0.2786896422
43	0.2781918246
44	0.277173286
45	0.2764558802
46	0.2760909974
47	0.2758104126
48	0.2750912574
49	0.2745222284
50	0.2742197738
51	0.2737513543
52	0.2736266211
53	0.2731340068
54	0.2725513029
55	0.27234914
56	0.2722784784
57	0.272078001
58	0.2719417992
59	0.2718682172
60	0.2715965179
61	0.2711895967
62	0.2707865692
63	0.2705082971
64	0.2704151608
65	0.2703171437
66	0.2702411844
67	0.2698609782
68	0.2696157058
69	0.2695313652
70	0.2692854419
71	0.2690156596
72	0.2688525874
73	0.2685963022
74	0.2685007034
75	0.2682659394
76	0.2681618773
77	0.2680722331
78	0.2680162788
79	0.2679377938
80	0.2678502093
81	0.2677630191
82	0.2675301098
83	0.2674278864
84	0.2673353764
85	0.2671378046
86	0.2670344362
87	0.2669779034
88	0.2668981901
89	0.2667969411
90	0.2667066837
91	0.26660304
92	0.2665255635
93	0.2664455045
94	0.266376804
95	0.2662932164
96	0.2661337124
97	0.2659901134
98	0.2658425887
99	0.2657236446
100	0.2654853934
101	0.2654148409
102	0.2651949977
103	0.2650806631
104	0.2649955003
105	0.2649412002
106	0.2648806519
107	0.2648269257
108	0.2647694795
109	0.2647078709
110	0.2646733553
111	0.2646081621
112	0.2645537135
113	0.2645264417
114	0.2644928164
115	0.2644052704
116	0.2643450475
117	0.2642337419
118	0.263898575
119	0.263862379
120	0.2637813491
121	0.263679717
122	0.263537272
123	0.2634841779
124	0.2633728663
125	0.2633203372
126	0.2632695624
127	0.2630723304
128	0.2629683042
129	0.2629024594
130	0.2628335848
131	0.2626791122
132	0.2626285264
133	0.2625537341
134	0.2624770613
135	0.2624037645
136	0.2623008585
137	0.2622542893
138	0.2621854024
139	0.2620593634
140	0.2620234497
141	0.2619709548
142	0.2618345758
143	0.261756479
144	0.2616872421
145	0.2615523508
146	0.2614681162
147	0.2614032547
148	0.2613565632
149	0.2612598862
150	0.2611958177
151	0.2611042458
152	0.2610589365
153	0.2609467135
154	0.2608778271
155	0.2607807577
156	0.2606525808
157	0.2606040107
158	0.2605064181
159	0.2602382215
160	0.2601271779
161	0.2600152183
162	0.2599589482
163	0.2598592412
164	0.2597822374
165	0.2597006249
166	0.2596569351
167	0.2596017107
168	0.2595520291
169	0.2595443784
170	0.2594672829
171	0.2594122339
172	0.2593362663
173	0.2592460388
174	0.2591713544
175	0.2589870658
176	0.2588912039
177	0.2588258268
178	0.2587951057
179	0.2587705216
180	0.2585277621
181	0.2583991061
182	0.2583528569
183	0.2582896417
184	0.2581680914
185	0.2581000343
186	0.2580111266
187	0.2579819726
188	0.2578594759
189	0.2578305411
190	0.2577742222
191	0.2577269511
192	0.2577082203
193	0.2576720905
194	0.257609085
195	0.2575189268
196	0.2574344299
197	0.2573443907
198	0.2572724278
199	0.2571698668
200	0.2571176527
201	0.2570268053
202	0.256943655
203	0.2568253281
204	0.2567338279
205	0.2566348072
206	0.2565720385
207	0.2564606058
208	0.2563645681
209	0.2562404317
210	0.2559408779
211	0.2558926005
212	0.2558093245
213	0.2556279163
214	0.2555838271
215	0.2555387051
216	0.2554842917
217	0.2553686023
218	0.2552677426
219	0.2552093519
220	0.2551090443
221	0.2550577277
222	0.2550135238
223	0.2549069441
224	0.2548627623
225	0.2547529288
226	0.2546454641
227	0.2545431508
228	0.2544612573
229	0.2543536252
230	0.2542557165
231	0.2539906144
232	0.2539277694
233	0.2538135675
234	0.2537516775
235	0.2537117113
236	0.2536234081
237	0.2535087131
238	0.253197352
239	0.2531244083
240	0.253084831
241	0.2530191622
242	0.2528930741
243	0.2528027063
244	0.2527141083
245	0.2526120732
246	0.252537207
247	0.2523075469
248	0.2522298935
249	0.2521030627
250	0.2519228864
251	0.2518667883
252	0.25176436
253	0.2516797401
254	0.2516218794
255	0.2515667295
256	0.2514619315
257	0.2513673124
258	0.2512673764
259	0.2512019393
260	0.2511042504
261	0.2510413512
262	0.2509631634
263	0.2508927489
264	0.2508153382
265	0.25073546
266	0.250649231
267	0.2505883068
268	0.2504633071
269	0.2503554927
270	0.2502628292
271	0.2501759886
272	0.2500993234
273	0.2500322588
274	0.2498920451
275	0.2498306874
276	0.2495973385
277	0.2494971254
278	0.2494288829
279	0.2493749379
280	0.2492713011
281	0.2491830599
282	0.2491425014
283	0.2490464658
284	0.2488305149
285	0.248728554
286	0.2485338974
287	0.2484087622
288	0.2483400665
289	0.2482760135
290	0.2481838393
291	0.2480827951
292	0.2480438022
293	0.2479650595
294	0.2478729074
295	0.2478004138
296	0.2477424311
297	0.2476494172
298	0.247544757
299	0.2474398069
300	0.2473440392
301	0.2472621101
302	0.2471870059
303	0.247092116
304	0.2470375626
305	0.2469520542
306	0.2468635015
307	0.2466836638
308	0.2465277359
309	0.2464459755
310	0.2463574709
311	0.2462947053
312	0.2462306617
313	0.2461129595
314	0.2460194078
315	0.2458332786
316	0.2457801311
317	0.2457212596
318	0.2456804674
319	0.2456167257
320	0.2455323548
321	0.245415014
322	0.2453693734
323	0.2452642209
324	0.245148189
325	0.2450548351
326	0.2449615172
327	0.2448773235
328	0.2448079282
329	0.2446879573
330	0.2446005357
331	0.2445061036
332	0.2444050562
333	0.2443584277
334	0.2443076422
335	0.2442527711
336	0.2441585251
337	0.2440722529
338	0.2439747177
339	0.2438022962
340	0.2436833877
341	0.2436385122
342	0.2435977928
343	0.2435833733
344	0.2434976425
345	0.2434176853
346	0.2433226126
347	0.2432279875
348	0.2431480265
349	0.2430963029
350	0.2430288866
351	0.2429572628
352	0.2428906717
353	0.2428517011
354	0.24278189
355	0.2427461936
356	0.2426623363
357	0.2426055967
358	0.242534901
359	0.2424400507
360	0.24233482
361	0.2422345599
362	0.242191821
363	0.2421138087
364	0.2420582881
365	0.2419701224
366	0.2417299272
367	0.2416395489
368	0.2415675883
369	0.2414776655
370	0.2413655995
371	0.2412575028
372	0.2412204405
373	0.2411278526
374	0.2410668886
375	0.2409970871
376	0.2409839317
377	0.2408950464
378	0.2408483321
379	0.2407805732
380	0.2406977939
381	0.2406155411
382	0.2405254807
383	0.2404590861
384	0.2403937423
385	0.2401686988
386	0.2400294636
387	0.2399811511
388	0.2398967575
389	0.2398117285
390	0.2397559927
391	0.2396943012
392	0.2396349279
393	0.2394441388
394	0.2394035951
395	0.2393551448
396	0.2392825832
397	0.2391881895
398	0.239102146
399	0.2390076754
400	0.2389630746
401	0.2389100181
402	0.23886871
403	0.2387837808
404	0.2387605943
405	0.2386922795
406	0.2386096522
407	0.2384158545
408	0.2383399519
409	0.2382896599
410	0.2382019537
411	0.2381265375
412	0.2380804244
413	0.2380237908
414	0.2379575138
415	0.2378877995
416	0.2378013452
417	0.2377166358
418	0.2376603308
419	0.2376047621
420	0.2375447542
421	0.2373661438
422	0.2372927924
423	0.2372008873
424	0.2371302634
425	0.2370492721
426	0.2369687599
427	0.2368889823
428	0.2367913876
429	0.2367500545
430	0.2366714049
431	0.2366332535
432	0.2365462273
433	0.2364717611
434	0.2364045776
435	0.2363265974
436	0.2361649431
437	0.2360886508
438	0.2360545675
439	0.2359907247
440	0.2359394908
441	0.235868719
442	0.2357080265
443	0.2356745783
444	0.2356274536
445	0.2355386928
446	0.2355155469
447	0.2354390644
448	0.2353761219
449	0.2353053203
450	0.2352102889
451	0.2351189609
452	0.2350595468
453	0.2349943884
454	0.2349270536
455	0.23486515
456	0.2347708134
457	0.2346855733
458	0.2346371216
459	0.2345778167
460	0.2345363871
461	0.2344745408
462	0.234396417
463	0.2342534667
464	0.2341347254
465	0.2340764217
466	0.2340399393
467	0.2339674087
468	0.2339050968
469	0.2338163347
470	0.2337625833
471	0.2336751401
472	0.2336027088
473	0.2335574713
474	0.2334778017
475	0.2333936626
476	0.2333070405
477	0.233230221
478	0.2331995615
479	0.2330670129
480	0.233011524
481	0.2328742936
482	0.2327960334
483	0.2327159962
484	0.2326495005
485	0.2325914797
486	0.2325216752
487	0.2324627778
488	0.2324113412
489	0.2322805165
490	0.2321873768
491	0.2321444185
492	0.2320897164
493	0.2320324377
494	0.2319782027
495	0.2319107266
496	0.2318285844
497	0.231782639
498	0.2316998088
499	0.2315722008
500	0.2315210842
